pickup_year,pickup_month,pickup_day,pickup_time,trip_distance,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,dropped_airport
2016.0,2.0,1.0,0.0,6.53,40.76470184,1.0,40.69292831,1.0,22.5,0.5,4.76,0.5,0.0,-73.98504639,0
2016.0,7.0,17.0,0.0,1.1,141.0,170.0,5.0,0.5,0.5,0.0,0.3,1.25,7.55,1.0,0
2016.0,9.0,4.0,0.0,5.7,88.0,229.0,17.0,0.5,0.5,0.0,0.3,2.75,21.05,1.0,0
2016.0,2.0,1.0,0.0,2.15,40.73241806,1.0,40.74486923,1.0,9.5,0.5,2.16,0.5,0.0,-73.98078156,0
2016.0,11.0,1.0,0.0,0.55,140.0,140.0,4.0,0.5,0.5,0.0,0.3,1.32,6.62,1.0,0
2016.0,2.0,19.0,0.0,5.75,40.71955109,1.0,40.74557877,1.0,20.5,0.5,5.45,0.5,0.0,-73.95308685,0
2016.0,2.0,1.0,0.0,12.48,40.75746918,1.0,40.63249969,2.0,35.0,0.5,0.0,0.5,0.0,-74.02433777,0
2016.0,1.0,1.0,0.0,2.67,40.73115158,1.0,40.74871063,1.0,12.5,0.5,1.1,0.5,0.0,-73.973526,0
2016.0,11.0,1.0,0.0,5.1,249.0,262.0,21.5,0.5,0.5,0.0,0.3,4.56,27.36,1.0,0
2016.0,9.0,4.0,0.0,2.6,107.0,230.0,10.0,0.5,0.5,0.0,0.3,4.0,15.3,1.0,0
2016.0,9.0,4.0,0.0,4.79,79.0,238.0,17.0,0.5,0.5,0.0,0.3,0.0,18.3,2.0,0
2016.0,9.0,4.0,0.0,2.6,79.0,229.0,11.0,0.5,0.5,0.0,0.3,2.45,14.75,1.0,0
2016.0,2.0,19.0,0.0,1.59,40.74803925,1.0,40.75331879,1.0,7.0,0.5,1.0,0.5,0.0,-73.96994019,0
2016.0,2.0,19.0,0.0,2.02,40.747509,1.0,40.73870087,1.0,10.5,0.5,3.54,0.5,0.0,-73.99939728,0
2016.0,1.0,29.0,0.0,1.0,40.71389008,1.0,40.72399521,1.0,9.0,0.5,1.0,0.0,0.0,-73.99676514,0
2016.0,7.0,10.0,0.0,4.7,255.0,170.0,18.0,0.0,0.5,0.0,0.3,3.75,22.55,1.0,0
2016.0,1.0,29.0,0.0,1.43,40.74437332,1.0,40.75947571,1.0,10.5,0.5,2.26,0.0,0.0,-73.98134613,0
2016.0,11.0,15.0,0.0,8.77,236.0,255.0,27.0,0.5,0.5,0.0,0.3,5.66,33.96,1.0,0
2016.0,1.0,1.0,0.0,3.7,40.76317978,1.0,40.74137497,1.0,13.0,0.5,5.7,0.5,0.0,-73.92160797,0
