pickup_year,pickup_month,pickup_day,trip_distance,RatecodeID,pickup_location,dropoff_location,fare_amount,extra,mta_tax,tolls_amount,improvement_surcharge,tip_amount,total_amount,payment_type,
2016,7,10,0.5,1,263,236,4.5,1,0.5,0,0.3,2.7,9,1,
2016,7,10,1.34,1,142,163,6,0,0.5,0,0.3,1.36,8.16,1,
2016,7,10,9.48,1,74,66,27,0,0.5,0,0.3,0,27.8,1,
2016,7,10,1,1,264,264,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,48,68,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,161,142,6,0,0.5,0,0.3,1,7.8,1,
2016,7,10,1.07,1,144,231,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,7.44,1,226,261,23,0,0.5,0,0.3,4.76,28.56,1,
2016,7,10,0.87,1,261,87,6,0,0.5,0,0.3,1,7.8,1,
2016,7,10,3.02,1,263,164,11.5,0,0.5,0,0.3,2.46,14.76,1,
2016,7,10,3.56,1,236,186,15.5,0,0.5,0,0.3,3.26,19.56,1,
2016,7,10,13.13,1,138,114,38.5,0,0.5,5.54,0.3,0,44.84,2,
2016,7,10,9.6,1,138,164,32,0,0.5,5.54,0.3,9.58,47.92,1,
2016,7,10,11.9,1,138,113,45,0,0.5,5.54,0.3,12.84,64.18,1,
2016,7,10,8.73,1,138,236,25.5,0,0.5,5.54,0.3,9.55,41.39,1,
2016,7,10,0.78,1,229,161,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,1.7,1,144,170,8,0,0.5,0,0.3,1,9.8,1,
2016,7,10,1.28,1,79,249,6.5,0,0.5,0,0.3,1.5,8.8,1,
2016,7,10,1.05,1,170,186,7.5,0,0.5,0,0.3,0,8.3,2,
2016,7,10,2.21,1,161,43,9,0,0.5,0,0.3,1.96,11.76,1,
2016,7,10,0.61,1,113,211,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,2.6,1,148,186,10.5,0,0.5,0,0.3,1,12.3,1,
2016,7,10,1.2,1,246,164,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,1.9,1,170,114,8.5,0,0.5,0,0.3,0,9.3,1,
2016,7,10,0.3,1,107,107,3,0,0.5,0,0.3,0,3.8,2,
2016,7,10,2.3,1,158,230,10,0,0.5,0,0.3,2.15,12.95,1,
2016,7,10,2.13,1,249,161,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.72,1,229,43,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.7,1,238,239,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,1.6,1,141,137,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,1.9,1,239,237,9.5,0,0.5,0,0.3,1.55,11.85,1,
2016,7,10,10.2,1,138,162,29,0,0.5,5.54,0.3,0,35.34,2,
2016,7,10,0.76,1,142,43,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,0.9,1,261,231,4.5,0,0.5,0,0.3,1.05,6.35,1,
2016,7,10,4.1,1,143,145,16,0,0.5,0,0.3,0,16.8,2,
2016,7,10,1.6,1,141,162,7.5,0,0.5,0,0.3,1.65,9.95,1,
2016,7,10,11.68,1,138,230,34.5,0,0.5,5.54,0.3,10.21,51.05,1,
2016,7,10,1.21,1,233,140,6.5,0,0.5,0,0.3,0,7.3,1,
2016,7,10,3.09,1,236,186,13.5,0,0.5,0,0.3,2.86,17.16,1,
2016,7,10,4.7,1,255,170,18,0,0.5,0,0.3,3.75,22.55,1,
2016,7,10,0.97,1,249,186,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,1.62,1,186,246,9,0,0.5,0,0.3,0,9.8,2,
2016,7,10,1.75,1,90,230,8,0,0.5,0,0.3,0,8.8,2,
2016,7,10,1.7,1,233,113,10,0,0.5,0,0.3,0,10.8,2,
2016,7,10,2.49,1,186,211,10.5,0,0.5,0,0.3,0,11.3,2,
2016,7,10,1.4,1,161,50,8,0,0.5,0,0.3,0,8.8,1,
2016,7,10,1.34,1,186,158,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,1.93,1,224,186,9.5,0,0.5,0,0.3,0,10.3,2,
2016,7,10,1.5,1,143,237,8,0,0.5,0,0.3,1.75,10.55,1,
2016,7,10,3.7,1,230,231,15,0,0.5,0,0.3,0,15.8,2,
2016,7,10,0.99,1,50,142,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.03,1,43,142,6,0,0.5,0,0.3,0,6.8,2,
2016,7,10,2,1,90,4,9.5,0,0.5,0,0.3,0,10.3,2,
2016,7,10,2.3,1,142,236,9.5,0,0.5,0,0.3,2.05,12.35,1,
2016,7,10,4.4,1,41,229,17,0,0.5,0,0.3,3.5,21.3,1,
2016,7,10,0.7,1,90,186,4.5,0,0.5,0,0.3,0,5.3,2,
2016,7,10,0.6,1,236,75,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,1.18,1,113,158,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.84,1,231,45,6.5,0,0.5,0,0.3,1.46,8.76,1,
2016,7,10,1.44,1,186,158,7.5,0,0.5,0,0.3,1.66,9.96,1,
2016,7,10,0.53,1,264,264,4,0,0.5,0,0.3,0.96,5.76,1,
2016,7,10,2.79,1,141,100,12,0,0.5,0,0.3,0,12.8,2,
2016,7,10,0.5,1,262,262,4.5,0,0.5,0,0.3,1.05,6.35,1,
2016,7,10,2.26,1,230,236,8.5,0,0.5,0,0.3,1.86,11.16,1,
2016,7,10,4.05,1,138,93,16.5,0,0.5,0,0.3,4.32,21.62,1,
2016,7,10,12.88,1,234,14,36.5,0,0.5,0,0.3,7.46,44.76,1,
2016,7,10,6.7,1,87,229,21.5,0,0.5,0,0.3,4.45,26.75,1,
2016,7,10,3.97,1,75,48,15,0,0.5,0,0.3,3.16,18.96,1,
2016,7,10,1.47,1,140,142,7,0,0.5,0,0.3,1,8.8,1,
2016,7,10,1,1,163,48,6,0,0.5,0,0.3,2.5,9.3,1,
2016,7,10,0.95,1,90,249,5,0,0.5,0,0.3,1.16,6.96,1,
2016,7,10,9.45,1,138,161,28.5,0,0.5,5.54,0.3,0,34.84,2,
2016,7,10,1.51,1,238,142,8,0,0.5,0,0.3,1,9.8,1,
2016,7,10,1.98,1,161,48,11.5,0,0.5,0,0.3,3.08,15.38,1,
2016,7,10,1.91,1,114,137,9,0,0.5,0,0.3,1,10.8,1,
2016,7,10,2.7,1,141,186,11.5,0,0.5,0,0.3,3.65,15.95,1,
2016,7,10,1.8,1,263,162,9.5,0,0.5,0,0.3,2.05,12.35,1,
2016,7,10,6.39,1,262,114,21,0,0.5,0,0.3,4.36,26.16,1,
2016,7,10,12.4,1,132,171,36.5,0,0.5,0,0.3,0,37.3,2,
2016,7,10,2.94,1,263,143,11.5,0,0.5,0,0.3,2.46,14.76,1,
2016,7,10,2.61,1,66,125,10.5,0,0.5,0,0.3,2.26,13.56,1,
2016,7,10,3.5,1,170,231,13,0,0.5,0,0.3,0,13.8,2,
2016,7,10,1.6,1,113,148,9,0,0.5,0,0.3,0,9.8,2,
2016,7,10,2.9,1,238,237,13,0,0.5,0,0.3,2.75,16.55,1,
2016,7,10,0.7,1,162,141,4,0,0.5,0,0.3,0.96,5.76,1,
2016,7,10,1,1,68,100,6.5,0,0.5,0,0.3,1.45,8.75,1,
2016,7,10,1.3,1,79,234,8,0,0.5,0,0.3,1.75,10.55,1,
2016,7,10,17.58,2,132,107,52,0,0.5,5.54,0.3,11.67,70.01,1,
2016,7,10,1.1,1,68,114,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,11.2,1,138,230,35,0,0.5,5.54,0.3,6,47.34,1,
2016,7,10,1.71,1,113,161,7,0,0.5,0,0.3,1.2,9,1,
2016,7,10,1.26,1,142,238,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,0.4,1,48,48,3.5,0,0.5,0,0.3,0.86,5.16,1,
2016,7,10,1.1,1,79,232,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,2.08,1,137,140,8,0,0.5,0,0.3,2.2,11,1,
2016,7,10,1.15,1,162,186,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,0.82,1,249,113,6,0,0.5,0,0.3,1.36,8.16,1,
2016,7,10,1.3,1,186,233,7,0,0.5,0,0.3,0,7.8,2,
2016,7,10,1.9,1,151,142,7.5,0,0.5,0,0.3,0,8.3,1,
2016,7,10,1.56,1,48,233,8.5,0,0.5,0,0.3,1,10.3,1,
2016,7,10,0.7,1,231,231,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,0.9,1,48,161,6.5,0,0.5,0,0.3,0,7.3,2,
2016,7,10,3.28,1,68,43,13.5,0,0.5,0,0.3,2.86,17.16,1,
2016,7,10,1.35,1,234,186,8.5,0,0.5,0,0.3,0,9.3,2,
2016,7,10,1.3,1,137,100,7,0,0.5,0,0.3,1.56,9.36,1,
2016,7,10,2,1,107,68,10,0,0.5,0,0.3,1,11.8,1,
2016,7,10,1.11,1,68,100,5,0,0.5,0,0.3,1.45,7.25,1,
2016,7,10,14.08,1,50,124,42,0,0.5,0,0.3,0,42.8,2,
2016,7,10,6,1,161,88,19,0,0.5,0,0.3,3.95,23.75,1,
2016,7,10,0.4,1,233,170,5,0,0.5,0,0.3,0,5.8,2,
2016,7,10,0.5,1,262,262,4,0,0.5,0,0.3,0.95,5.75,1,
2016,7,10,1.23,1,236,239,6.5,0,0.5,0,0.3,0,7.3,1,
2016,7,10,8.8,1,138,48,27.5,0,0.5,5.54,0.3,0,33.84,2,
2016,7,10,6.33,1,236,148,21,0,0.5,0,0.3,4.36,26.16,1,
2016,7,10,4.7,1,66,186,16,0,0.5,0,0.3,4.2,21,1,
2016,7,10,0.84,1,163,237,5.5,0,0.5,0,0.3,0,6.3,2,
2016,7,10,2.46,1,161,158,11,0,0.5,0,0.3,2.36,14.16,1,
2016,7,10,0.85,1,233,170,5,0,0.5,0,0.3,0.5,6.3,1,
2016,7,10,0.64,1,230,230,5,0,0.5,0,0.3,1.16,6.96,1,
